Plot number	Rep	Treatment name	File name
101	1	un+U	57
102	1	cra+cont	58
103	1	al+U	59
104	1	al+cont	60
105	1	be+D	61
106	1	un+cont	62
107	1	be+cont	5
108	1	al+D	4
109	1	cra+D	3
110	1	un+D	2
111	1	cra+U	1
112	1	be+U	0
201	2	un+U	51
202	2	al+cont	52
203	2	cra+cont	53
204	2	be+U	54
205	2	be+D	55
206	2	cra+U	56
207	2	un+D	11
208	2	be+cont	10
209	2	cra+D	9
210	2	un+cont	8
211	2	al+D	7
212	2	al+U	6
301	3	be+U	44
302	3	un+U	45
303	3	al+cont	46
304	3	cra+U	47
			
305	3	un+D	49
306	3	cra+cont	50
307	3	un+cont	18
308	3	cra+D	16
309	3	be+D	15
310	3	al+U	14
311	3	be+cont	13
312	3	al+D	12
401	4	cra+cont	38
402	4	cra+D	39
403	4	be+D	40
404	4	al+U	41
405	4	cra+U	42
406	4	un+U	43
407	4	be+cont	24
408	4	be+U	23
409	4	un+cont	22
410	4	un+D	21
411	4	al+cont	20
412	4	al+D	19
501	5	cra+U	32
502	5	al+cont	33
503	5	cra+cont	34
504	5	cra+D	35
505	5	un+U	36
506	5	be+D	37
507	5	un+cont	31
508	5	be+U	29
509	5	un+D	28
510	5	al+D	27
511	5	al+U	26
512	5	be+cont	25
