Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.26E-01,3.77E-03,2.94
351,1.30E-01,3.86E-03,2.9403
352,1.35E-01,3.97E-03,2.9408
353,1.38E-01,4.05E-03,2.9413
354,1.40E-01,4.09E-03,2.942
355,1.41E-01,4.12E-03,2.943
356,1.41E-01,4.15E-03,2.9448
357,1.42E-01,4.19E-03,2.9476
358,1.43E-01,4.25E-03,2.9516
359,1.46E-01,4.36E-03,2.957
360,1.51E-01,4.53E-03,2.9638
361,1.59E-01,4.77E-03,2.9718
362,1.69E-01,5.04E-03,2.9808
363,1.78E-01,5.33E-03,2.9908
364,1.87E-01,5.60E-03,3.0021
365,1.95E-01,5.87E-03,3.0151
366,2.04E-01,6.15E-03,3.0302
367,2.11E-01,6.39E-03,3.0476
368,2.15E-01,6.56E-03,3.0673
369,2.15E-01,6.61E-03,3.0894
370,2.11E-01,6.55E-03,3.1139
371,2.05E-01,6.44E-03,3.1406
372,2.00E-01,6.36E-03,3.1693
373,1.99E-01,6.37E-03,3.2001
374,2.01E-01,6.52E-03,3.2332
375,2.08E-01,6.82E-03,3.269
376,2.18E-01,7.20E-03,3.3075
377,2.30E-01,7.67E-03,3.3489
378,2.37E-01,8.01E-03,3.3938
379,2.34E-01,8.03E-03,3.4424
380,2.23E-01,7.77E-03,3.4944
381,2.08E-01,7.38E-03,3.549
382,1.96E-01,7.08E-03,3.6057
383,1.90E-01,7.02E-03,3.6646
384,1.91E-01,7.17E-03,3.7266
385,1.97E-01,7.51E-03,3.7913
386,2.08E-01,8.03E-03,3.8589
387,2.21E-01,8.66E-03,3.9305
388,2.34E-01,9.32E-03,4.0062
389,2.43E-01,9.85E-03,4.0855
390,2.45E-01,1.01E-02,4.1686
391,2.41E-01,1.01E-02,4.2552
392,2.34E-01,1.01E-02,4.3452
393,2.25E-01,9.93E-03,4.437
394,2.19E-01,9.93E-03,4.5296
395,2.22E-01,1.03E-02,4.6233
396,2.37E-01,1.11E-02,4.718
397,2.59E-01,1.24E-02,4.8138
398,2.84E-01,1.39E-02,4.9113
399,3.10E-01,1.55E-02,5.0099
400,3.35E-01,1.72E-02,5.1096
401,3.56E-01,1.87E-02,5.2094
402,3.67E-01,1.96E-02,5.3088
403,3.74E-01,2.03E-02,5.4066
404,3.78E-01,2.08E-02,5.5022
405,3.79E-01,2.11E-02,5.5949
406,3.80E-01,2.16E-02,5.6841
407,3.83E-01,2.21E-02,5.7693
408,3.87E-01,2.26E-02,5.8507
409,3.91E-01,2.32E-02,5.9282
410,3.97E-01,2.39E-02,6.0029
411,4.04E-01,2.46E-02,6.0759
412,4.11E-01,2.53E-02,6.1453
413,4.17E-01,2.60E-02,6.2095
414,4.20E-01,2.65E-02,6.2685
415,4.21E-01,2.67E-02,6.3235
416,4.21E-01,2.69E-02,6.3743
417,4.19E-01,2.70E-02,6.4227
418,4.18E-01,2.71E-02,6.4678
419,4.20E-01,2.73E-02,6.509
420,4.22E-01,2.76E-02,6.5467
421,4.24E-01,2.78E-02,6.5817
422,4.23E-01,2.79E-02,6.6128
423,4.21E-01,2.79E-02,6.6409
424,4.20E-01,2.80E-02,6.6666
425,4.20E-01,2.81E-02,6.6899
426,4.17E-01,2.80E-02,6.7112
427,4.10E-01,2.77E-02,6.7307
428,3.96E-01,2.68E-02,6.7491
429,3.77E-01,2.57E-02,6.7668
430,3.72E-01,2.53E-02,6.7843
431,3.86E-01,2.61E-02,6.8019
432,4.11E-01,2.78E-02,6.8189
433,4.30E-01,2.93E-02,6.8342
434,4.43E-01,3.03E-02,6.8485
435,4.55E-01,3.11E-02,6.863
436,4.62E-01,3.17E-02,6.8787
437,4.60E-01,3.18E-02,6.8955
438,4.54E-01,3.15E-02,6.9129
439,4.56E-01,3.16E-02,6.9309
440,4.68E-01,3.24E-02,6.9495
441,4.84E-01,3.36E-02,6.9686
442,4.98E-01,3.47E-02,6.9886
443,5.05E-01,3.53E-02,7.0096
444,5.06E-01,3.56E-02,7.0313
445,5.06E-01,3.57E-02,7.0534
446,5.10E-01,3.60E-02,7.0763
447,5.20E-01,3.67E-02,7.0998
448,5.33E-01,3.77E-02,7.1225
449,5.45E-01,3.88E-02,7.1432
450,5.51E-01,3.94E-02,7.1627
451,5.48E-01,3.96E-02,7.1818
452,5.40E-01,3.91E-02,7.2004
453,5.32E-01,3.87E-02,7.2183
454,5.35E-01,3.88E-02,7.2357
455,5.43E-01,3.94E-02,7.2535
456,5.51E-01,4.00E-02,7.2706
457,5.54E-01,4.03E-02,7.2846
458,5.53E-01,4.03E-02,7.2943
459,5.51E-01,4.03E-02,7.3001
460,5.57E-01,4.07E-02,7.3037
461,5.63E-01,4.11E-02,7.3083
462,5.67E-01,4.15E-02,7.3145
463,5.64E-01,4.14E-02,7.3209
464,5.59E-01,4.10E-02,7.3264
465,5.53E-01,4.06E-02,7.331
466,5.51E-01,4.04E-02,7.3347
467,5.51E-01,4.04E-02,7.3382
468,5.52E-01,4.06E-02,7.3427
469,5.51E-01,4.05E-02,7.3494
470,5.52E-01,4.06E-02,7.3586
471,5.56E-01,4.08E-02,7.3686
472,5.64E-01,4.12E-02,7.3773
473,5.69E-01,4.16E-02,7.3857
474,5.70E-01,4.17E-02,7.3947
475,5.67E-01,4.19E-02,7.4044
476,5.65E-01,4.21E-02,7.4152
477,5.65E-01,4.24E-02,7.4266
478,5.71E-01,4.28E-02,7.438
479,5.77E-01,4.32E-02,7.4497
480,5.82E-01,4.35E-02,7.4622
481,5.84E-01,4.38E-02,7.4756
482,5.82E-01,4.37E-02,7.4902
483,5.75E-01,4.33E-02,7.5059
484,5.55E-01,4.18E-02,7.5221
485,5.34E-01,4.03E-02,7.5395
486,5.18E-01,3.92E-02,7.5578
487,5.25E-01,3.96E-02,7.5766
488,5.40E-01,4.08E-02,7.5964
489,5.57E-01,4.23E-02,7.6164
490,5.61E-01,4.28E-02,7.6359
491,5.60E-01,4.28E-02,7.6553
492,5.56E-01,4.27E-02,7.6757
493,5.61E-01,4.32E-02,7.6995
494,5.68E-01,4.39E-02,7.7277
495,5.73E-01,4.44E-02,7.7605
496,5.72E-01,4.46E-02,7.7957
497,5.68E-01,4.46E-02,7.8329
498,5.64E-01,4.44E-02,7.8724
499,5.57E-01,4.41E-02,7.915
500,5.51E-01,4.39E-02,7.9614
501,5.46E-01,4.38E-02,8.0117
502,5.45E-01,4.39E-02,8.0664
503,5.48E-01,4.45E-02,8.1255
504,5.54E-01,4.53E-02,8.1892
505,5.60E-01,4.62E-02,8.2561
506,5.63E-01,4.68E-02,8.3248
507,5.61E-01,4.71E-02,8.3984
508,5.60E-01,4.74E-02,8.4796
509,5.62E-01,4.80E-02,8.5653
510,5.65E-01,4.88E-02,8.6556
511,5.65E-01,4.93E-02,8.7516
512,5.60E-01,4.95E-02,8.8537
513,5.53E-01,4.95E-02,8.9617
514,5.48E-01,4.96E-02,9.0748
515,5.36E-01,4.92E-02,9.1966
516,5.20E-01,4.84E-02,9.3225
517,5.07E-01,4.78E-02,9.4477
518,5.11E-01,4.88E-02,9.5755
519,5.26E-01,5.09E-02,9.7055
520,5.40E-01,5.30E-02,9.8365
521,5.48E-01,5.45E-02,9.9674
522,5.51E-01,5.56E-02,10.0973
523,5.56E-01,5.69E-02,10.2284
524,5.57E-01,5.78E-02,10.3608
525,5.53E-01,5.82E-02,10.49
526,5.42E-01,5.77E-02,10.6175
527,5.43E-01,5.84E-02,10.7345
528,5.53E-01,6.01E-02,10.8459
529,5.70E-01,6.25E-02,10.9523
530,5.75E-01,6.37E-02,11.0544
531,5.72E-01,6.40E-02,11.1519
532,5.65E-01,6.37E-02,11.2438
533,5.63E-01,6.39E-02,11.3301
534,5.66E-01,6.46E-02,11.4099
535,5.72E-01,6.56E-02,11.4864
536,5.72E-01,6.60E-02,11.5585
537,5.70E-01,6.60E-02,11.6283
538,5.65E-01,6.58E-02,11.6947
539,5.57E-01,6.53E-02,11.7573
540,5.51E-01,6.51E-02,11.8163
541,5.49E-01,6.52E-02,11.8724
542,5.53E-01,6.60E-02,11.9261
543,5.58E-01,6.68E-02,11.9773
544,5.61E-01,6.74E-02,12.026
545,5.62E-01,6.78E-02,12.0717
546,5.62E-01,6.80E-02,12.1142
547,5.60E-01,6.80E-02,12.1534
548,5.61E-01,6.82E-02,12.1897
549,5.62E-01,6.87E-02,12.2231
550,5.64E-01,6.91E-02,12.2527
551,5.63E-01,6.91E-02,12.2793
552,5.63E-01,6.93E-02,12.3014
553,5.64E-01,6.95E-02,12.3158
554,5.65E-01,6.98E-02,12.326
555,5.64E-01,6.96E-02,12.3316
556,5.59E-01,6.91E-02,12.332
557,5.52E-01,6.81E-02,12.3268
558,5.47E-01,6.74E-02,12.3153
559,5.45E-01,6.70E-02,12.2973
560,5.47E-01,6.71E-02,12.2688
561,5.51E-01,6.75E-02,12.2342
562,5.54E-01,6.76E-02,12.1975
563,5.54E-01,6.73E-02,12.1513
564,5.52E-01,6.68E-02,12.1011
565,5.50E-01,6.63E-02,12.0497
566,5.48E-01,6.58E-02,11.9941
567,5.47E-01,6.53E-02,11.9351
568,5.44E-01,6.46E-02,11.8734
569,5.39E-01,6.38E-02,11.8102
570,5.37E-01,6.31E-02,11.7459
571,5.39E-01,6.30E-02,11.6813
572,5.45E-01,6.32E-02,11.6171
573,5.50E-01,6.34E-02,11.5548
574,5.48E-01,6.29E-02,11.4944
575,5.46E-01,6.23E-02,11.4359
576,5.44E-01,6.18E-02,11.3795
577,5.43E-01,6.13E-02,11.3253
578,5.43E-01,6.10E-02,11.274
579,5.44E-01,6.09E-02,11.2262
580,5.49E-01,6.12E-02,11.1814
581,5.53E-01,6.14E-02,11.1398
582,5.56E-01,6.16E-02,11.1019
583,5.57E-01,6.16E-02,11.0672
584,5.54E-01,6.11E-02,11.0353
585,5.49E-01,6.04E-02,11.0061
586,5.43E-01,5.97E-02,10.9798
587,5.30E-01,5.82E-02,10.9562
588,5.13E-01,5.62E-02,10.9347
589,4.96E-01,5.43E-02,10.9155
590,4.97E-01,5.42E-02,10.8983
591,5.05E-01,5.50E-02,10.8829
592,5.15E-01,5.60E-02,10.8688
593,5.16E-01,5.60E-02,10.8554
594,5.16E-01,5.60E-02,10.8423
595,5.18E-01,5.60E-02,10.8289
596,5.22E-01,5.64E-02,10.8149
597,5.25E-01,5.66E-02,10.8004
598,5.26E-01,5.67E-02,10.7846
599,5.28E-01,5.67E-02,10.7676
600,5.28E-01,5.67E-02,10.7495
601,5.28E-01,5.67E-02,10.7301
