Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.06E-01,1.25E-03,1.17
351,1.10E-01,1.29E-03,1.1699
352,1.14E-01,1.33E-03,1.1697
353,1.16E-01,1.36E-03,1.1696
354,1.18E-01,1.37E-03,1.1694
355,1.18E-01,1.38E-03,1.1692
356,1.19E-01,1.39E-03,1.1692
357,1.19E-01,1.39E-03,1.1693
358,1.20E-01,1.41E-03,1.1697
359,1.22E-01,1.44E-03,1.1705
360,1.26E-01,1.49E-03,1.1717
361,1.33E-01,1.56E-03,1.1733
362,1.41E-01,1.66E-03,1.1752
363,1.48E-01,1.74E-03,1.1775
364,1.56E-01,1.83E-03,1.18
365,1.63E-01,1.92E-03,1.183
366,1.70E-01,2.00E-03,1.1864
367,1.75E-01,2.08E-03,1.1903
368,1.79E-01,2.13E-03,1.1948
369,1.79E-01,2.13E-03,1.1999
370,1.75E-01,2.11E-03,1.2057
371,1.70E-01,2.06E-03,1.2122
372,1.66E-01,2.02E-03,1.2193
373,1.64E-01,2.02E-03,1.2269
374,1.66E-01,2.06E-03,1.235
375,1.71E-01,2.14E-03,1.2436
376,1.79E-01,2.25E-03,1.2528
377,1.89E-01,2.39E-03,1.2623
378,1.95E-01,2.48E-03,1.2721
379,1.93E-01,2.46E-03,1.2823
380,1.84E-01,2.36E-03,1.293
381,1.71E-01,2.23E-03,1.3042
382,1.61E-01,2.12E-03,1.3157
383,1.56E-01,2.09E-03,1.3276
384,1.57E-01,2.11E-03,1.3399
385,1.62E-01,2.20E-03,1.3524
386,1.70E-01,2.32E-03,1.3651
387,1.80E-01,2.49E-03,1.3778
388,1.91E-01,2.65E-03,1.3904
389,1.98E-01,2.77E-03,1.4029
390,2.00E-01,2.81E-03,1.4152
391,1.97E-01,2.79E-03,1.4275
392,1.91E-01,2.74E-03,1.4397
393,1.84E-01,2.66E-03,1.4518
394,1.79E-01,2.62E-03,1.4637
395,1.81E-01,2.68E-03,1.4754
396,1.92E-01,2.88E-03,1.4868
397,2.11E-01,3.18E-03,1.4979
398,2.30E-01,3.50E-03,1.5088
399,2.51E-01,3.84E-03,1.5198
400,2.71E-01,4.18E-03,1.5309
401,2.88E-01,4.45E-03,1.542
402,2.96E-01,4.60E-03,1.5533
403,3.02E-01,4.70E-03,1.5646
404,3.05E-01,4.78E-03,1.5756
405,3.06E-01,4.83E-03,1.5866
406,3.07E-01,4.89E-03,1.5975
407,3.09E-01,4.96E-03,1.6084
408,3.12E-01,5.04E-03,1.6192
409,3.15E-01,5.14E-03,1.63
410,3.20E-01,5.25E-03,1.641
411,3.25E-01,5.38E-03,1.6523
412,3.31E-01,5.51E-03,1.6639
413,3.36E-01,5.63E-03,1.6758
414,3.38E-01,5.71E-03,1.688
415,3.39E-01,5.77E-03,1.7006
416,3.38E-01,5.79E-03,1.7137
417,3.36E-01,5.81E-03,1.7273
418,3.36E-01,5.84E-03,1.7412
419,3.37E-01,5.91E-03,1.7551
420,3.39E-01,5.99E-03,1.7692
421,3.40E-01,6.05E-03,1.7832
422,3.39E-01,6.09E-03,1.7973
423,3.38E-01,6.11E-03,1.8114
424,3.36E-01,6.14E-03,1.8258
425,3.36E-01,6.17E-03,1.8404
426,3.34E-01,6.18E-03,1.8552
427,3.28E-01,6.12E-03,1.8703
428,3.16E-01,5.95E-03,1.8854
429,3.02E-01,5.72E-03,1.9007
430,2.97E-01,5.69E-03,1.916
431,3.07E-01,5.95E-03,1.9315
432,3.27E-01,6.38E-03,1.9469
433,3.42E-01,6.73E-03,1.9625
434,3.52E-01,6.98E-03,1.9782
435,3.62E-01,7.21E-03,1.9938
436,3.67E-01,7.38E-03,2.0093
437,3.66E-01,7.41E-03,2.0246
438,3.61E-01,7.36E-03,2.0398
439,3.62E-01,7.44E-03,2.0549
440,3.71E-01,7.68E-03,2.0699
441,3.84E-01,8.00E-03,2.0846
442,3.95E-01,8.29E-03,2.0991
443,4.01E-01,8.46E-03,2.1132
444,4.01E-01,8.53E-03,2.127
445,4.01E-01,8.58E-03,2.1404
446,4.04E-01,8.70E-03,2.1533
447,4.12E-01,8.93E-03,2.166
448,4.22E-01,9.21E-03,2.1784
449,4.32E-01,9.47E-03,2.1905
450,4.36E-01,9.61E-03,2.2023
451,4.34E-01,9.60E-03,2.2137
452,4.27E-01,9.49E-03,2.2248
453,4.20E-01,9.40E-03,2.2355
454,4.23E-01,9.49E-03,2.2457
455,4.29E-01,9.68E-03,2.2555
456,4.35E-01,9.84E-03,2.265
457,4.37E-01,9.94E-03,2.2743
458,4.36E-01,9.96E-03,2.2838
459,4.35E-01,9.97E-03,2.2933
460,4.39E-01,1.01E-02,2.3029
461,4.43E-01,1.02E-02,2.3122
462,4.47E-01,1.04E-02,2.3212
463,4.44E-01,1.03E-02,2.3303
464,4.40E-01,1.03E-02,2.3392
465,4.35E-01,1.02E-02,2.3482
466,4.33E-01,1.02E-02,2.3573
467,4.33E-01,1.02E-02,2.3665
468,4.34E-01,1.03E-02,2.3756
469,4.33E-01,1.03E-02,2.3847
470,4.33E-01,1.04E-02,2.3938
471,4.37E-01,1.05E-02,2.4032
472,4.43E-01,1.07E-02,2.4131
473,4.47E-01,1.09E-02,2.4232
474,4.48E-01,1.09E-02,2.4335
475,4.46E-01,1.09E-02,2.4441
476,4.43E-01,1.09E-02,2.4549
477,4.42E-01,1.09E-02,2.4661
478,4.46E-01,1.10E-02,2.4775
479,4.51E-01,1.12E-02,2.4894
480,4.55E-01,1.13E-02,2.5015
481,4.57E-01,1.15E-02,2.5138
482,4.55E-01,1.15E-02,2.5264
483,4.50E-01,1.14E-02,2.5393
484,4.34E-01,1.11E-02,2.5525
485,4.17E-01,1.07E-02,2.566
486,4.05E-01,1.04E-02,2.5798
487,4.09E-01,1.06E-02,2.5939
488,4.21E-01,1.10E-02,2.6083
489,4.34E-01,1.14E-02,2.6231
490,4.38E-01,1.16E-02,2.6384
491,4.36E-01,1.16E-02,2.6542
492,4.34E-01,1.16E-02,2.6703
493,4.37E-01,1.18E-02,2.6866
494,4.42E-01,1.20E-02,2.7029
495,4.46E-01,1.21E-02,2.7193
496,4.45E-01,1.22E-02,2.7358
497,4.43E-01,1.22E-02,2.7527
498,4.39E-01,1.21E-02,2.7697
499,4.33E-01,1.21E-02,2.7867
500,4.28E-01,1.20E-02,2.804
501,4.24E-01,1.20E-02,2.8214
502,4.23E-01,1.20E-02,2.839
503,4.25E-01,1.22E-02,2.8571
504,4.30E-01,1.24E-02,2.8756
505,4.35E-01,1.26E-02,2.8945
506,4.37E-01,1.27E-02,2.9139
507,4.36E-01,1.28E-02,2.9335
508,4.35E-01,1.28E-02,2.9536
509,4.36E-01,1.30E-02,2.9739
510,4.38E-01,1.31E-02,2.9945
511,4.38E-01,1.32E-02,3.0156
512,4.34E-01,1.32E-02,3.0372
513,4.29E-01,1.31E-02,3.0592
514,4.24E-01,1.31E-02,3.0816
515,4.15E-01,1.29E-02,3.1043
