Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.26E-01,3.92E-03,3.0587
351,1.30E-01,4.03E-03,3.059
352,1.35E-01,4.14E-03,3.0593
353,1.38E-01,4.23E-03,3.0596
354,1.40E-01,4.28E-03,3.06
355,1.41E-01,4.30E-03,3.0607
356,1.41E-01,4.32E-03,3.0617
357,1.42E-01,4.35E-03,3.0634
358,1.43E-01,4.41E-03,3.0657
359,1.46E-01,4.50E-03,3.0689
360,1.51E-01,4.67E-03,3.0729
361,1.59E-01,4.91E-03,3.0776
362,1.69E-01,5.20E-03,3.0829
363,1.78E-01,5.49E-03,3.0888
364,1.87E-01,5.78E-03,3.0957
365,1.95E-01,6.06E-03,3.1039
366,2.04E-01,6.34E-03,3.1137
367,2.11E-01,6.58E-03,3.1253
368,2.15E-01,6.73E-03,3.1386
369,2.15E-01,6.76E-03,3.1538
370,2.11E-01,6.68E-03,3.171
371,2.05E-01,6.54E-03,3.1901
372,2.00E-01,6.43E-03,3.2111
373,1.99E-01,6.42E-03,3.2338
374,2.01E-01,6.56E-03,3.2586
375,2.08E-01,6.83E-03,3.2854
376,2.18E-01,7.20E-03,3.3144
377,2.30E-01,7.66E-03,3.3453
378,2.37E-01,7.97E-03,3.3784
379,2.34E-01,7.97E-03,3.4141
380,2.23E-01,7.68E-03,3.452
381,2.08E-01,7.26E-03,3.4914
382,1.96E-01,6.93E-03,3.5319
383,1.90E-01,6.83E-03,3.5736
384,1.91E-01,6.94E-03,3.6165
385,1.97E-01,7.25E-03,3.6607
386,2.08E-01,7.70E-03,3.7066
387,2.21E-01,8.28E-03,3.7544
388,2.34E-01,8.86E-03,3.8038
389,2.43E-01,9.32E-03,3.8543
390,2.45E-01,9.52E-03,3.9055
391,2.41E-01,9.49E-03,3.9572
392,2.34E-01,9.35E-03,4.0091
393,2.25E-01,9.13E-03,4.0607
394,2.19E-01,9.03E-03,4.1119
395,2.22E-01,9.26E-03,4.1624
396,2.37E-01,9.96E-03,4.2122
397,2.59E-01,1.10E-02,4.2617
398,2.84E-01,1.22E-02,4.3108
399,3.10E-01,1.35E-02,4.3596
400,3.35E-01,1.48E-02,4.408
401,3.56E-01,1.60E-02,4.4556
402,3.67E-01,1.66E-02,4.5021
403,3.74E-01,1.71E-02,4.5471
404,3.78E-01,1.74E-02,4.5905
405,3.79E-01,1.75E-02,4.6323
406,3.80E-01,1.77E-02,4.6721
407,3.83E-01,1.80E-02,4.71
408,3.87E-01,1.83E-02,4.7463
409,3.91E-01,1.87E-02,4.7815
410,3.97E-01,1.91E-02,4.8156
411,4.04E-01,1.96E-02,4.8485
412,4.11E-01,2.01E-02,4.8804
413,4.17E-01,2.05E-02,4.9112
414,4.20E-01,2.08E-02,4.9408
415,4.21E-01,2.10E-02,4.9689
416,4.21E-01,2.10E-02,4.9951
417,4.19E-01,2.10E-02,5.0201
418,4.18E-01,2.11E-02,5.0444
419,4.20E-01,2.13E-02,5.0685
420,4.22E-01,2.15E-02,5.0919
421,4.24E-01,2.17E-02,5.1141
422,4.23E-01,2.17E-02,5.1348
423,4.21E-01,2.17E-02,5.1543
424,4.20E-01,2.17E-02,5.1728
425,4.20E-01,2.18E-02,5.1903
426,4.17E-01,2.18E-02,5.207
427,4.10E-01,2.14E-02,5.223
428,3.96E-01,2.08E-02,5.2385
429,3.77E-01,1.99E-02,5.2537
430,3.72E-01,1.96E-02,5.2686
431,3.86E-01,2.04E-02,5.2835
432,4.11E-01,2.17E-02,5.298
433,4.30E-01,2.28E-02,5.3116
434,4.43E-01,2.35E-02,5.3246
435,4.55E-01,2.42E-02,5.3376
436,4.62E-01,2.47E-02,5.3511
437,4.60E-01,2.47E-02,5.3653
438,4.54E-01,2.44E-02,5.3797
439,4.56E-01,2.46E-02,5.3941
440,4.68E-01,2.52E-02,5.4088
441,4.84E-01,2.62E-02,5.4237
442,4.98E-01,2.70E-02,5.4387
443,5.05E-01,2.75E-02,5.4539
444,5.06E-01,2.77E-02,5.4691
445,5.06E-01,2.77E-02,5.4842
446,5.10E-01,2.80E-02,5.4992
447,5.20E-01,2.86E-02,5.5141
448,5.33E-01,2.94E-02,5.5282
449,5.45E-01,3.01E-02,5.541
450,5.51E-01,3.06E-02,5.5528
451,5.48E-01,3.06E-02,5.5637
452,5.40E-01,3.02E-02,5.5737
453,5.32E-01,2.99E-02,5.5828
454,5.35E-01,3.00E-02,5.591
455,5.43E-01,3.05E-02,5.5989
456,5.51E-01,3.08E-02,5.6058
457,5.54E-01,3.11E-02,5.6109
458,5.53E-01,3.10E-02,5.6131
459,5.51E-01,3.10E-02,5.6127
460,5.57E-01,3.12E-02,5.6111
461,5.63E-01,3.16E-02,5.6099
462,5.67E-01,3.18E-02,5.6095
463,5.64E-01,3.17E-02,5.6095
464,5.59E-01,3.14E-02,5.6092
465,5.53E-01,3.10E-02,5.6085
466,5.51E-01,3.09E-02,5.6074
467,5.51E-01,3.09E-02,5.6062
468,5.52E-01,3.09E-02,5.6056
469,5.51E-01,3.09E-02,5.6063
470,5.52E-01,3.09E-02,5.6086
471,5.56E-01,3.11E-02,5.6114
472,5.64E-01,3.14E-02,5.6139
473,5.69E-01,3.17E-02,5.6166
474,5.70E-01,3.17E-02,5.6198
475,5.67E-01,3.18E-02,5.6237
476,5.65E-01,3.20E-02,5.6283
477,5.65E-01,3.21E-02,5.6335
478,5.71E-01,3.24E-02,5.639
479,5.77E-01,3.27E-02,5.6448
480,5.82E-01,3.29E-02,5.6512
481,5.84E-01,3.31E-02,5.6581
482,5.82E-01,3.30E-02,5.6659
483,5.75E-01,3.27E-02,5.6744
484,5.55E-01,3.16E-02,5.6834
485,5.34E-01,3.04E-02,5.6932
486,5.18E-01,2.96E-02,5.7035
487,5.25E-01,2.99E-02,5.7144
488,5.40E-01,3.08E-02,5.7259
489,5.57E-01,3.19E-02,5.7379
490,5.61E-01,3.22E-02,5.7498
491,5.60E-01,3.22E-02,5.7621
492,5.56E-01,3.21E-02,5.7751
493,5.61E-01,3.25E-02,5.7908
494,5.68E-01,3.30E-02,5.8097
495,5.73E-01,3.34E-02,5.832
496,5.72E-01,3.35E-02,5.8564
497,5.68E-01,3.35E-02,5.8827
498,5.64E-01,3.34E-02,5.911
499,5.57E-01,3.31E-02,5.9416
500,5.51E-01,3.29E-02,5.9751
501,5.46E-01,3.28E-02,6.0122
502,5.45E-01,3.30E-02,6.0533
503,5.48E-01,3.34E-02,6.0989
504,5.54E-01,3.41E-02,6.149
505,5.60E-01,3.48E-02,6.2022
