Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.06E-01,2.39E-03,2.1974
351,1.10E-01,2.41E-03,2.1975
352,1.14E-01,2.44E-03,2.1975
353,1.16E-01,2.49E-03,2.1974
354,1.18E-01,2.52E-03,2.1974
355,1.18E-01,2.55E-03,2.1977
356,1.19E-01,2.58E-03,2.1983
357,1.19E-01,2.61E-03,2.1996
358,1.20E-01,2.66E-03,2.2016
359,1.22E-01,2.73E-03,2.2044
360,1.26E-01,2.82E-03,2.208
361,1.33E-01,2.94E-03,2.2124
362,1.41E-01,3.11E-03,2.2172
363,1.48E-01,3.29E-03,2.2226
364,1.56E-01,3.46E-03,2.2288
365,1.63E-01,3.64E-03,2.2359
366,1.70E-01,3.80E-03,2.2442
367,1.75E-01,3.93E-03,2.2538
368,1.79E-01,4.02E-03,2.2648
369,1.79E-01,4.04E-03,2.2772
370,1.75E-01,4.00E-03,2.2909
371,1.70E-01,3.93E-03,2.3058
372,1.66E-01,3.87E-03,2.3216
373,1.64E-01,3.86E-03,2.3386
374,1.66E-01,3.94E-03,2.3569
375,1.71E-01,4.10E-03,2.3766
376,1.79E-01,4.31E-03,2.3975
377,1.89E-01,4.57E-03,2.4199
378,1.95E-01,4.74E-03,2.4437
379,1.93E-01,4.74E-03,2.469
380,1.84E-01,4.57E-03,2.4956
381,1.71E-01,4.32E-03,2.5233
382,1.61E-01,4.12E-03,2.5519
383,1.56E-01,4.05E-03,2.5813
384,1.57E-01,4.11E-03,2.6117
385,1.62E-01,4.28E-03,2.6432
386,1.70E-01,4.56E-03,2.6759
387,1.80E-01,4.90E-03,2.7101
388,1.91E-01,5.24E-03,2.7457
389,1.98E-01,5.51E-03,2.7824
390,2.00E-01,5.62E-03,2.82
391,1.97E-01,5.59E-03,2.8584
392,1.91E-01,5.50E-03,2.8974
393,1.84E-01,5.38E-03,2.9366
394,1.79E-01,5.32E-03,2.9759
395,1.81E-01,5.46E-03,3.015
396,1.92E-01,5.87E-03,3.054
397,2.11E-01,6.51E-03,3.0932
398,2.30E-01,7.22E-03,3.1327
399,2.51E-01,7.99E-03,3.1726
400,2.71E-01,8.76E-03,3.2128
401,2.88E-01,9.44E-03,3.2531
402,2.96E-01,9.82E-03,3.2933
403,3.02E-01,1.01E-02,3.3327
404,3.05E-01,1.03E-02,3.3716
405,3.06E-01,1.04E-02,3.4097
406,3.07E-01,1.06E-02,3.447
407,3.09E-01,1.07E-02,3.4833
408,3.12E-01,1.10E-02,3.5186
409,3.15E-01,1.12E-02,3.5533
410,3.20E-01,1.15E-02,3.5873
411,3.25E-01,1.18E-02,3.6205
412,3.31E-01,1.21E-02,3.653
413,3.36E-01,1.24E-02,3.685
414,3.38E-01,1.26E-02,3.7162
415,3.39E-01,1.27E-02,3.7465
416,3.38E-01,1.28E-02,3.7755
417,3.36E-01,1.28E-02,3.8033
418,3.36E-01,1.29E-02,3.8301
419,3.37E-01,1.30E-02,3.8561
420,3.39E-01,1.31E-02,3.881
421,3.40E-01,1.33E-02,3.9043
422,3.39E-01,1.33E-02,3.9261
423,3.38E-01,1.33E-02,3.9465
424,3.36E-01,1.33E-02,3.9655
425,3.36E-01,1.34E-02,3.9834
426,3.34E-01,1.34E-02,4.0001
427,3.28E-01,1.32E-02,4.0155
428,3.16E-01,1.28E-02,4.03
429,3.02E-01,1.22E-02,4.0438
430,2.97E-01,1.21E-02,4.057
431,3.07E-01,1.25E-02,4.0696
432,3.27E-01,1.33E-02,4.0816
433,3.42E-01,1.40E-02,4.0929
434,3.52E-01,1.45E-02,4.1036
435,3.62E-01,1.49E-02,4.1143
436,3.67E-01,1.51E-02,4.1254
437,3.66E-01,1.51E-02,4.137
