Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.06E-01,1.81E-03,1.6801
351,1.10E-01,1.86E-03,1.6812
352,1.14E-01,1.91E-03,1.6829
353,1.16E-01,1.95E-03,1.6851
354,1.18E-01,1.98E-03,1.6878
355,1.18E-01,1.99E-03,1.6911
356,1.19E-01,2.00E-03,1.695
357,1.19E-01,2.02E-03,1.6998
358,1.20E-01,2.05E-03,1.7054
359,1.22E-01,2.10E-03,1.7119
360,1.26E-01,2.18E-03,1.7192
361,1.33E-01,2.30E-03,1.7271
362,1.41E-01,2.44E-03,1.7355
363,1.48E-01,2.58E-03,1.7444
364,1.56E-01,2.72E-03,1.754
365,1.63E-01,2.86E-03,1.7645
366,1.70E-01,3.00E-03,1.776
367,1.75E-01,3.13E-03,1.7886
368,1.79E-01,3.21E-03,1.8021
369,1.79E-01,3.24E-03,1.8165
370,1.75E-01,3.21E-03,1.8317
371,1.70E-01,3.15E-03,1.8476
372,1.66E-01,3.10E-03,1.8641
373,1.64E-01,3.10E-03,1.8811
374,1.66E-01,3.16E-03,1.8989
375,1.71E-01,3.29E-03,1.9177
376,1.79E-01,3.47E-03,1.9373
377,1.89E-01,3.69E-03,1.9579
378,1.95E-01,3.85E-03,1.9797
379,1.93E-01,3.86E-03,2.0028
380,1.84E-01,3.73E-03,2.0271
381,1.71E-01,3.53E-03,2.0521
382,1.61E-01,3.36E-03,2.0776
383,1.56E-01,3.30E-03,2.1036
384,1.57E-01,3.35E-03,2.1302
385,1.62E-01,3.49E-03,2.1577
386,1.70E-01,3.71E-03,2.1863
387,1.80E-01,3.98E-03,2.2164
388,1.91E-01,4.26E-03,2.248
389,1.98E-01,4.49E-03,2.2808
390,2.00E-01,4.60E-03,2.3146
391,1.97E-01,4.60E-03,2.3492
392,1.91E-01,4.54E-03,2.3845
393,1.84E-01,4.44E-03,2.4202
394,1.79E-01,4.40E-03,2.4563
395,1.81E-01,4.51E-03,2.4926
396,1.92E-01,4.85E-03,2.5291
397,2.11E-01,5.37E-03,2.5661
398,2.30E-01,5.97E-03,2.6035
399,2.51E-01,6.62E-03,2.6413
400,2.71E-01,7.28E-03,2.6792
401,2.88E-01,7.87E-03,2.7169
402,2.96E-01,8.22E-03,2.7541
403,3.02E-01,8.46E-03,2.7902
404,3.05E-01,8.63E-03,2.8251
405,3.06E-01,8.75E-03,2.8587
406,3.07E-01,8.88E-03,2.8907
407,3.09E-01,9.04E-03,2.9209
408,3.12E-01,9.22E-03,2.9498
409,3.15E-01,9.42E-03,2.9774
410,3.20E-01,9.64E-03,3.0039
411,3.25E-01,9.88E-03,3.0289
412,3.31E-01,1.01E-02,3.0527
413,3.36E-01,1.03E-02,3.0755
414,3.38E-01,1.05E-02,3.097
415,3.39E-01,1.06E-02,3.1167
416,3.38E-01,1.06E-02,3.1341
417,3.36E-01,1.06E-02,3.1497
418,3.36E-01,1.06E-02,3.1641
419,3.37E-01,1.07E-02,3.1778
420,3.39E-01,1.08E-02,3.1907
421,3.40E-01,1.09E-02,3.2023
422,3.39E-01,1.09E-02,3.2128
423,3.38E-01,1.09E-02,3.2223
424,3.36E-01,1.08E-02,3.231
425,3.36E-01,1.09E-02,3.2388
426,3.34E-01,1.08E-02,3.2458
427,3.28E-01,1.07E-02,3.2522
428,3.16E-01,1.04E-02,3.2584
429,3.02E-01,9.91E-03,3.2644
430,2.97E-01,9.73E-03,3.2701
431,3.07E-01,1.00E-02,3.276
432,3.27E-01,1.07E-02,3.2816
433,3.42E-01,1.12E-02,3.2865
434,3.52E-01,1.16E-02,3.2909
435,3.62E-01,1.19E-02,3.2954
436,3.67E-01,1.21E-02,3.3006
437,3.66E-01,1.21E-02,3.3065
438,3.61E-01,1.20E-02,3.3127
439,3.62E-01,1.20E-02,3.3192
440,3.71E-01,1.23E-02,3.326
441,3.84E-01,1.27E-02,3.3331
442,3.95E-01,1.31E-02,3.3406
443,4.01E-01,1.34E-02,3.3487
444,4.01E-01,1.35E-02,3.3572
445,4.01E-01,1.35E-02,3.366
446,4.04E-01,1.36E-02,3.3752
447,4.12E-01,1.39E-02,3.3848
