Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.21E-01,2.25E-03,1.8228
351,1.25E-01,2.27E-03,1.8223
352,1.30E-01,2.30E-03,1.8216
353,1.33E-01,2.34E-03,1.8206
354,1.34E-01,2.38E-03,1.8196
355,1.35E-01,2.41E-03,1.8186
356,1.36E-01,2.45E-03,1.818
357,1.37E-01,2.49E-03,1.8178
358,1.38E-01,2.54E-03,1.818
359,1.40E-01,2.60E-03,1.8188
360,1.46E-01,2.68E-03,1.82
361,1.53E-01,2.79E-03,1.8216
362,1.63E-01,2.94E-03,1.8234
363,1.71E-01,3.11E-03,1.8255
364,1.80E-01,3.28E-03,1.8282
365,1.88E-01,3.45E-03,1.8318
366,1.97E-01,3.60E-03,1.8363
367,2.04E-01,3.73E-03,1.8419
368,2.08E-01,3.81E-03,1.8484
369,2.08E-01,3.83E-03,1.8561
370,2.04E-01,3.79E-03,1.8648
371,1.98E-01,3.73E-03,1.8746
372,1.94E-01,3.67E-03,1.8853
373,1.92E-01,3.67E-03,1.897
374,1.94E-01,3.74E-03,1.9099
375,2.01E-01,3.89E-03,1.924
376,2.10E-01,4.09E-03,1.9394
377,2.22E-01,4.33E-03,1.9558
378,2.29E-01,4.49E-03,1.9735
379,2.27E-01,4.50E-03,1.9927
380,2.16E-01,4.34E-03,2.0132
381,2.01E-01,4.10E-03,2.0345
382,1.90E-01,3.91E-03,2.0565
383,1.85E-01,3.85E-03,2.0792
384,1.85E-01,3.91E-03,2.1028
385,1.92E-01,4.08E-03,2.1274
386,2.02E-01,4.35E-03,2.1535
387,2.14E-01,4.67E-03,2.181
388,2.27E-01,5.00E-03,2.2098
389,2.35E-01,5.26E-03,2.2398
390,2.38E-01,5.36E-03,2.2706
391,2.34E-01,5.35E-03,2.3021
392,2.27E-01,5.27E-03,2.3342
393,2.19E-01,5.16E-03,2.3665
394,2.13E-01,5.13E-03,2.399
395,2.16E-01,5.26E-03,2.4316
396,2.30E-01,5.66E-03,2.4645
397,2.52E-01,6.28E-03,2.4978
398,2.76E-01,6.98E-03,2.5317
399,3.01E-01,7.75E-03,2.5661
400,3.27E-01,8.54E-03,2.6008
401,3.48E-01,9.23E-03,2.6358
402,3.59E-01,9.65E-03,2.6707
403,3.66E-01,9.92E-03,2.7052
404,3.69E-01,1.01E-02,2.7394
405,3.70E-01,1.02E-02,2.7732
406,3.71E-01,1.04E-02,2.8064
407,3.74E-01,1.06E-02,2.8388
408,3.77E-01,1.08E-02,2.8706
409,3.82E-01,1.11E-02,2.902
410,3.88E-01,1.14E-02,2.9331
411,3.94E-01,1.17E-02,2.9637
412,4.01E-01,1.20E-02,2.9938
413,4.07E-01,1.23E-02,3.0234
414,4.11E-01,1.25E-02,3.0524
415,4.12E-01,1.27E-02,3.0802
416,4.11E-01,1.28E-02,3.1068
417,4.09E-01,1.28E-02,3.1323
418,4.09E-01,1.29E-02,3.1572
419,4.10E-01,1.31E-02,3.1815
420,4.13E-01,1.32E-02,3.205
421,4.14E-01,1.34E-02,3.2271
422,4.14E-01,1.34E-02,3.2476
423,4.12E-01,1.35E-02,3.2668
424,4.11E-01,1.35E-02,3.2848
425,4.11E-01,1.36E-02,3.3016
426,4.09E-01,1.36E-02,3.3173
427,4.02E-01,1.34E-02,3.3319
428,3.88E-01,1.30E-02,3.3456
429,3.70E-01,1.25E-02,3.3586
430,3.65E-01,1.23E-02,3.371
431,3.79E-01,1.28E-02,3.3828
432,4.03E-01,1.37E-02,3.3939
433,4.22E-01,1.43E-02,3.4041
434,4.34E-01,1.48E-02,3.4138
435,4.46E-01,1.52E-02,3.4234
436,4.53E-01,1.55E-02,3.4333
437,4.52E-01,1.55E-02,3.4436
438,4.46E-01,1.54E-02,3.4541
439,4.48E-01,1.55E-02,3.465
440,4.59E-01,1.60E-02,3.4762
441,4.75E-01,1.65E-02,3.4878
442,4.89E-01,1.70E-02,3.4998
443,4.96E-01,1.73E-02,3.5122
444,4.97E-01,1.75E-02,3.525
445,4.97E-01,1.76E-02,3.538
446,5.01E-01,1.77E-02,3.5513
447,5.11E-01,1.81E-02,3.5648
448,5.23E-01,1.86E-02,3.5781
449,5.35E-01,1.92E-02,3.5909
450,5.41E-01,1.95E-02,3.6031
451,5.39E-01,1.96E-02,3.6148
452,5.31E-01,1.94E-02,3.6261
453,5.24E-01,1.92E-02,3.6368
454,5.28E-01,1.93E-02,3.6469
455,5.35E-01,1.96E-02,3.6566
456,5.43E-01,1.98E-02,3.6655
457,5.45E-01,2.00E-02,3.6728
458,5.44E-01,2.01E-02,3.6781
459,5.43E-01,2.01E-02,3.6818
460,5.48E-01,2.02E-02,3.6847
461,5.55E-01,2.05E-02,3.6877
462,5.59E-01,2.06E-02,3.6907
463,5.56E-01,2.06E-02,3.6936
464,5.51E-01,2.04E-02,3.6958
465,5.45E-01,2.02E-02,3.6975
466,5.43E-01,2.01E-02,3.6986
467,5.43E-01,2.01E-02,3.6996
468,5.44E-01,2.01E-02,3.7008
469,5.44E-01,2.01E-02,3.7027
470,5.44E-01,2.01E-02,3.7054
471,5.48E-01,2.02E-02,3.7084
472,5.55E-01,2.05E-02,3.7113
473,5.60E-01,2.06E-02,3.7142
474,5.60E-01,2.07E-02,3.7174
475,5.59E-01,2.08E-02,3.7209
476,5.58E-01,2.09E-02,3.7248
477,5.61E-01,2.11E-02,3.7291
478,5.66E-01,2.13E-02,3.7335
479,5.72E-01,2.15E-02,3.7381
480,5.76E-01,2.16E-02,3.7431
481,5.77E-01,2.17E-02,3.7485
