Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.21E-01,2.92E-03,2.3467
351,1.25E-01,2.98E-03,2.3477
352,1.30E-01,3.05E-03,2.3491
353,1.33E-01,3.10E-03,2.3507
354,1.34E-01,3.13E-03,2.3527
355,1.35E-01,3.16E-03,2.355
356,1.36E-01,3.18E-03,2.3577
357,1.37E-01,3.22E-03,2.3612
358,1.38E-01,3.28E-03,2.3654
359,1.40E-01,3.36E-03,2.3706
360,1.46E-01,3.49E-03,2.3767
361,1.53E-01,3.67E-03,2.3835
362,1.63E-01,3.89E-03,2.3908
363,1.71E-01,4.11E-03,2.3987
364,1.80E-01,4.32E-03,2.4071
365,1.88E-01,4.54E-03,2.4164
366,1.97E-01,4.75E-03,2.4266
367,2.04E-01,4.93E-03,2.4378
368,2.08E-01,5.05E-03,2.4502
369,2.08E-01,5.08E-03,2.4638
370,2.04E-01,5.03E-03,2.4786
371,1.98E-01,4.94E-03,2.4945
372,1.94E-01,4.87E-03,2.5114
373,1.92E-01,4.87E-03,2.5292
374,1.94E-01,4.97E-03,2.5481
375,2.01E-01,5.18E-03,2.5682
376,2.10E-01,5.45E-03,2.5892
377,2.22E-01,5.79E-03,2.6112
378,2.29E-01,6.02E-03,2.6343
379,2.27E-01,6.00E-03,2.6584
380,2.16E-01,5.77E-03,2.6837
381,2.01E-01,5.45E-03,2.7097
382,1.90E-01,5.21E-03,2.7364
383,1.85E-01,5.13E-03,2.7639
384,1.85E-01,5.21E-03,2.7921
385,1.92E-01,5.43E-03,2.821
386,2.02E-01,5.77E-03,2.8506
387,2.14E-01,6.19E-03,2.8809
388,2.27E-01,6.60E-03,2.9116
389,2.35E-01,6.91E-03,2.9428
390,2.38E-01,7.04E-03,2.9744
391,2.34E-01,6.99E-03,3.0063
392,2.27E-01,6.87E-03,3.0385
393,2.19E-01,6.70E-03,3.071
394,2.13E-01,6.63E-03,3.1034
395,2.16E-01,6.80E-03,3.1358
396,2.30E-01,7.32E-03,3.1683
397,2.52E-01,8.11E-03,3.2013
398,2.76E-01,8.98E-03,3.235
399,3.01E-01,9.91E-03,3.2696
400,3.27E-01,1.08E-02,3.3053
401,3.48E-01,1.17E-02,3.342
402,3.59E-01,1.21E-02,3.3796
403,3.66E-01,1.24E-02,3.4177
404,3.69E-01,1.27E-02,3.4563
405,3.70E-01,1.28E-02,3.4953
406,3.71E-01,1.30E-02,3.5346
407,3.74E-01,1.33E-02,3.5742
408,3.77E-01,1.36E-02,3.6143
409,3.82E-01,1.39E-02,3.655
410,3.88E-01,1.43E-02,3.6964
411,3.94E-01,1.47E-02,3.7387
412,4.01E-01,1.52E-02,3.7817
413,4.07E-01,1.56E-02,3.8254
414,4.11E-01,1.59E-02,3.8698
415,4.12E-01,1.61E-02,3.9145
416,4.11E-01,1.63E-02,3.9592
417,4.09E-01,1.64E-02,4.0038
418,4.09E-01,1.66E-02,4.0481
419,4.10E-01,1.68E-02,4.0921
420,4.13E-01,1.71E-02,4.1352
421,4.14E-01,1.73E-02,4.1773
422,4.14E-01,1.75E-02,4.2182
423,4.12E-01,1.76E-02,4.2581
424,4.11E-01,1.77E-02,4.2972
425,4.11E-01,1.78E-02,4.3352
426,4.09E-01,1.79E-02,4.3723
427,4.02E-01,1.77E-02,4.4084
428,3.88E-01,1.73E-02,4.4435
429,3.70E-01,1.66E-02,4.4777
430,3.65E-01,1.65E-02,4.5109
431,3.79E-01,1.72E-02,4.5432
432,4.03E-01,1.84E-02,4.5746
433,4.22E-01,1.94E-02,4.6048
434,4.34E-01,2.01E-02,4.6343
435,4.46E-01,2.08E-02,4.6632
436,4.53E-01,2.12E-02,4.6917
437,4.52E-01,2.13E-02,4.7197
438,4.46E-01,2.12E-02,4.747
439,4.48E-01,2.14E-02,4.7738
440,4.59E-01,2.20E-02,4.8
441,4.75E-01,2.29E-02,4.8258
442,4.89E-01,2.37E-02,4.8511
443,4.96E-01,2.41E-02,4.8758
444,4.97E-01,2.43E-02,4.8999
445,4.97E-01,2.45E-02,4.9236
446,5.01E-01,2.48E-02,4.9467
447,5.11E-01,2.53E-02,4.9693
448,5.23E-01,2.61E-02,4.9912
449,5.35E-01,2.68E-02,5.0122
450,5.41E-01,2.73E-02,5.0323
451,5.39E-01,2.73E-02,5.0517
452,5.31E-01,2.70E-02,5.0702
453,5.24E-01,2.67E-02,5.088
454,5.28E-01,2.69E-02,5.1051
455,5.35E-01,2.74E-02,5.1215
456,5.43E-01,2.78E-02,5.137
457,5.45E-01,2.81E-02,5.1512
458,5.44E-01,2.81E-02,5.1642
459,5.43E-01,2.81E-02,5.1766
460,5.48E-01,2.84E-02,5.1887
461,5.55E-01,2.88E-02,5.2005
462,5.59E-01,2.91E-02,5.212
463,5.56E-01,2.90E-02,5.2228
464,5.51E-01,2.88E-02,5.2329
