Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.06E-01,3.28E-03,3.0571
351,1.10E-01,3.37E-03,3.0597
352,1.14E-01,3.48E-03,3.0631
353,1.16E-01,3.55E-03,3.0671
354,1.18E-01,3.60E-03,3.0715
355,1.18E-01,3.63E-03,3.0761
356,1.19E-01,3.65E-03,3.081
357,1.19E-01,3.69E-03,3.0867
358,1.20E-01,3.74E-03,3.0937
359,1.22E-01,3.83E-03,3.1021
360,1.26E-01,3.97E-03,3.1122
361,1.33E-01,4.19E-03,3.1236
362,1.41E-01,4.43E-03,3.1361
363,1.48E-01,4.67E-03,3.1494
364,1.56E-01,4.91E-03,3.1635
365,1.63E-01,5.15E-03,3.1787
366,1.70E-01,5.38E-03,3.1954
367,1.75E-01,5.59E-03,3.214
368,1.79E-01,5.73E-03,3.2347
369,1.79E-01,5.77E-03,3.2577
370,1.75E-01,5.72E-03,3.283
371,1.70E-01,5.62E-03,3.3107
372,1.66E-01,5.55E-03,3.3404
373,1.64E-01,5.56E-03,3.372
374,1.66E-01,5.69E-03,3.4056
375,1.71E-01,5.94E-03,3.4413
376,1.79E-01,6.26E-03,3.479
377,1.89E-01,6.65E-03,3.5187
378,1.95E-01,6.92E-03,3.5606
379,1.93E-01,6.92E-03,3.6049
380,1.84E-01,6.67E-03,3.6515
381,1.71E-01,6.32E-03,3.6996
382,1.61E-01,6.06E-03,3.7486
383,1.56E-01,5.99E-03,3.7987
384,1.57E-01,6.09E-03,3.8502
385,1.62E-01,6.36E-03,3.9037
386,1.70E-01,6.75E-03,3.9597
387,1.80E-01,7.25E-03,4.0181
388,1.91E-01,7.75E-03,4.0788
389,1.98E-01,8.14E-03,4.1407
390,2.00E-01,8.32E-03,4.2036
391,1.97E-01,8.30E-03,4.2673
392,1.91E-01,8.19E-03,4.3318
393,1.84E-01,8.03E-03,4.3969
394,1.79E-01,7.96E-03,4.4621
395,1.81E-01,8.20E-03,4.5272
396,1.92E-01,8.83E-03,4.5921
397,2.11E-01,9.80E-03,4.6573
398,2.30E-01,1.09E-02,4.723
399,2.51E-01,1.21E-02,4.7897
400,2.71E-01,1.33E-02,4.8575
401,2.88E-01,1.44E-02,4.926
402,2.96E-01,1.50E-02,4.9951
403,3.02E-01,1.54E-02,5.0637
404,3.05E-01,1.56E-02,5.1314
405,3.06E-01,1.58E-02,5.1979
406,3.07E-01,1.60E-02,5.2627
407,3.09E-01,1.64E-02,5.3257
408,3.12E-01,1.67E-02,5.3869
409,3.15E-01,1.72E-02,5.447
410,3.20E-01,1.76E-02,5.5064
411,3.25E-01,1.81E-02,5.5652
412,3.31E-01,1.87E-02,5.6237
413,3.36E-01,1.91E-02,5.682
414,3.38E-01,1.95E-02,5.7402
415,3.39E-01,1.97E-02,5.798
416,3.38E-01,1.98E-02,5.8553
417,3.36E-01,1.99E-02,5.9124
418,3.36E-01,2.00E-02,5.9702
419,3.37E-01,2.03E-02,6.0286
420,3.39E-01,2.06E-02,6.0868
421,3.40E-01,2.08E-02,6.1435
422,3.39E-01,2.10E-02,6.1982
423,3.38E-01,2.11E-02,6.2514
424,3.36E-01,2.12E-02,6.304
425,3.36E-01,2.13E-02,6.3564
426,3.34E-01,2.14E-02,6.4088
427,3.28E-01,2.12E-02,6.4613
428,3.16E-01,2.07E-02,6.5142
429,3.02E-01,1.99E-02,6.5674
430,2.97E-01,1.97E-02,6.6213
431,3.07E-01,2.05E-02,6.6754
432,3.27E-01,2.20E-02,6.7285
433,3.42E-01,2.31E-02,6.7801
434,3.52E-01,2.40E-02,6.831
435,3.62E-01,2.48E-02,6.8821
436,3.67E-01,2.54E-02,6.9338
437,3.66E-01,2.56E-02,6.986
438,3.61E-01,2.55E-02,7.0382
439,3.62E-01,2.57E-02,7.0903
440,3.71E-01,2.65E-02,7.1421
441,3.84E-01,2.76E-02,7.1937
442,3.95E-01,2.86E-02,7.2449
443,4.01E-01,2.92E-02,7.2959
444,4.01E-01,2.95E-02,7.3462
445,4.01E-01,2.97E-02,7.3958
446,4.04E-01,3.00E-02,7.4453
447,4.12E-01,3.07E-02,7.495
448,4.22E-01,3.17E-02,7.5441
449,4.32E-01,3.27E-02,7.5918
450,4.36E-01,3.34E-02,7.6381
451,4.34E-01,3.35E-02,7.6834
452,4.27E-01,3.32E-02,7.7279
453,4.20E-01,3.28E-02,7.7718
454,4.23E-01,3.31E-02,7.8153
455,4.29E-01,3.37E-02,7.8593
456,4.35E-01,3.43E-02,7.9025
457,4.37E-01,3.47E-02,7.943
458,4.36E-01,3.48E-02,7.9795
459,4.35E-01,3.48E-02,8.0133
460,4.39E-01,3.53E-02,8.0468
461,4.43E-01,3.59E-02,8.083
462,4.47E-01,3.63E-02,8.1219
463,4.44E-01,3.63E-02,8.1626
464,4.40E-01,3.61E-02,8.2032
465,4.35E-01,3.59E-02,8.2429
466,4.33E-01,3.59E-02,8.2817
467,4.33E-01,3.60E-02,8.3209
468,4.34E-01,3.63E-02,8.3614
469,4.33E-01,3.64E-02,8.4037
470,4.33E-01,3.65E-02,8.4475
471,4.37E-01,3.69E-02,8.492
472,4.43E-01,3.75E-02,8.5369
473,4.47E-01,3.80E-02,8.5822
474,4.48E-01,3.84E-02,8.6282
475,4.46E-01,3.87E-02,8.6749
476,4.43E-01,3.90E-02,8.7229
477,4.42E-01,3.93E-02,8.7718
478,4.46E-01,3.97E-02,8.8214
479,4.51E-01,4.01E-02,8.8718
480,4.55E-01,4.05E-02,8.923
481,4.57E-01,4.09E-02,8.9751
482,4.55E-01,4.10E-02,9.0283
483,4.50E-01,4.08E-02,9.0823
484,4.34E-01,3.96E-02,9.137
485,4.17E-01,3.83E-02,9.1924
486,4.05E-01,3.74E-02,9.2484
487,4.09E-01,3.80E-02,9.3048
488,4.21E-01,3.94E-02,9.3613
489,4.34E-01,4.09E-02,9.4175
490,4.38E-01,4.14E-02,9.4723
491,4.36E-01,4.16E-02,9.5266
492,4.34E-01,4.16E-02,9.5818
493,4.37E-01,4.22E-02,9.6406
