Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.17E-01,2.79E-03,2.3137
351,1.21E-01,2.83E-03,2.3168
352,1.26E-01,2.88E-03,2.3212
353,1.29E-01,2.94E-03,2.3269
354,1.30E-01,2.98E-03,2.3337
355,1.31E-01,3.02E-03,2.3417
356,1.32E-01,3.06E-03,2.3505
357,1.32E-01,3.12E-03,2.3607
358,1.34E-01,3.19E-03,2.3725
359,1.36E-01,3.29E-03,2.3861
360,1.41E-01,3.43E-03,2.4013
361,1.49E-01,3.62E-03,2.4181
362,1.58E-01,3.84E-03,2.4363
363,1.66E-01,4.09E-03,2.4557
364,1.75E-01,4.33E-03,2.4764
365,1.83E-01,4.56E-03,2.4984
366,1.91E-01,4.80E-03,2.5219
367,1.98E-01,5.00E-03,2.5469
368,2.01E-01,5.14E-03,2.5735
369,2.01E-01,5.20E-03,2.6015
370,1.98E-01,5.17E-03,2.6311
371,1.93E-01,5.10E-03,2.6621
372,1.88E-01,5.05E-03,2.6944
373,1.86E-01,5.09E-03,2.728
374,1.89E-01,5.23E-03,2.7631
375,1.95E-01,5.49E-03,2.7996
376,2.04E-01,5.81E-03,2.8378
377,2.16E-01,6.21E-03,2.8774
378,2.23E-01,6.48E-03,2.9189
379,2.20E-01,6.50E-03,2.9625
380,2.10E-01,6.29E-03,3.0082
381,1.96E-01,5.97E-03,3.0552
382,1.84E-01,5.73E-03,3.103
383,1.79E-01,5.67E-03,3.1517
384,1.80E-01,5.79E-03,3.2016
385,1.86E-01,6.07E-03,3.2532
386,1.96E-01,6.49E-03,3.307
387,2.08E-01,7.01E-03,3.3636
388,2.20E-01,7.53E-03,3.4228
389,2.29E-01,7.94E-03,3.484
390,2.31E-01,8.14E-03,3.547
391,2.27E-01,8.14E-03,3.6116
392,2.21E-01,8.05E-03,3.6779
393,2.12E-01,7.92E-03,3.7457
394,2.07E-01,7.89E-03,3.8144
395,2.10E-01,8.14E-03,3.8839
396,2.23E-01,8.79E-03,3.9541
397,2.44E-01,9.77E-03,4.0251
398,2.67E-01,1.09E-02,4.0968
399,2.92E-01,1.22E-02,4.1693
400,3.17E-01,1.35E-02,4.2427
401,3.38E-01,1.47E-02,4.3164
402,3.49E-01,1.54E-02,4.39
403,3.56E-01,1.59E-02,4.4628
404,3.59E-01,1.63E-02,4.5341
405,3.60E-01,1.65E-02,4.6034
406,3.60E-01,1.68E-02,4.6702
407,3.63E-01,1.71E-02,4.7342
408,3.66E-01,1.76E-02,4.7955
409,3.71E-01,1.80E-02,4.8539
410,3.76E-01,1.85E-02,4.9096
411,3.83E-01,1.91E-02,4.9626
412,3.90E-01,1.96E-02,5.0133
413,3.95E-01,2.01E-02,5.0621
414,3.99E-01,2.05E-02,5.1084
415,4.00E-01,2.07E-02,5.1514
416,3.99E-01,2.08E-02,5.1903
417,3.97E-01,2.08E-02,5.2257
418,3.97E-01,2.09E-02,5.2588
419,3.98E-01,2.11E-02,5.29
420,4.00E-01,2.13E-02,5.3192
421,4.02E-01,2.14E-02,5.3455
422,4.01E-01,2.15E-02,5.369
423,4.00E-01,2.15E-02,5.3901
424,3.99E-01,2.15E-02,5.409
425,3.99E-01,2.16E-02,5.4259
426,3.97E-01,2.16E-02,5.441
427,3.90E-01,2.13E-02,5.4549
428,3.76E-01,2.07E-02,5.4679
429,3.59E-01,1.98E-02,5.4803
430,3.54E-01,1.95E-02,5.4924
431,3.67E-01,2.01E-02,5.5044
432,3.91E-01,2.14E-02,5.5155
433,4.09E-01,2.25E-02,5.5249
434,4.21E-01,2.32E-02,5.533
435,4.32E-01,2.39E-02,5.541
436,4.39E-01,2.44E-02,5.55
437,4.38E-01,2.44E-02,5.5594
438,4.32E-01,2.41E-02,5.5689
439,4.34E-01,2.42E-02,5.5783
440,4.45E-01,2.48E-02,5.5879
441,4.60E-01,2.57E-02,5.5976
442,4.73E-01,2.65E-02,5.6076
443,4.80E-01,2.69E-02,5.6181
444,4.81E-01,2.71E-02,5.6289
445,4.81E-01,2.72E-02,5.6399
446,4.85E-01,2.73E-02,5.6515
447,4.94E-01,2.78E-02,5.6637
448,5.06E-01,2.85E-02,5.6751
449,5.17E-01,2.92E-02,5.6846
450,5.23E-01,2.98E-02,5.693
451,5.22E-01,2.99E-02,5.7011
452,5.14E-01,2.96E-02,5.7088
453,5.07E-01,2.92E-02,5.7158
454,5.10E-01,2.93E-02,5.723
455,5.18E-01,2.97E-02,5.7308
456,5.25E-01,3.00E-02,5.7381
457,5.27E-01,3.02E-02,5.7429
458,5.26E-01,3.02E-02,5.7434
459,5.25E-01,3.02E-02,5.7405
460,5.30E-01,3.04E-02,5.7355
461,5.36E-01,3.07E-02,5.7318
462,5.40E-01,3.10E-02,5.7297
463,5.37E-01,3.08E-02,5.728
464,5.32E-01,3.05E-02,5.7257
465,5.26E-01,3.02E-02,5.7225
466,5.24E-01,3.00E-02,5.7187
467,5.24E-01,3.00E-02,5.7146
468,5.25E-01,3.00E-02,5.7114
469,5.25E-01,3.00E-02,5.7103
470,5.25E-01,2.99E-02,5.7114
471,5.29E-01,3.00E-02,5.7128
472,5.35E-01,3.02E-02,5.7127
473,5.39E-01,3.03E-02,5.7123
474,5.39E-01,3.03E-02,5.7124
475,5.38E-01,3.05E-02,5.7129
476,5.38E-01,3.09E-02,5.7143
477,5.42E-01,3.14E-02,5.716
478,5.48E-01,3.17E-02,5.7175
479,5.53E-01,3.19E-02,5.7188
480,5.56E-01,3.19E-02,5.7205
481,5.57E-01,3.20E-02,5.7228
482,5.55E-01,3.19E-02,5.7259
483,5.48E-01,3.14E-02,5.7297
484,5.29E-01,3.04E-02,5.7337
485,5.08E-01,2.92E-02,5.7384
486,4.93E-01,2.84E-02,5.7435
487,5.00E-01,2.86E-02,5.749
488,5.14E-01,2.94E-02,5.7546
489,5.31E-01,3.05E-02,5.7596
490,5.35E-01,3.08E-02,5.7634
491,5.33E-01,3.07E-02,5.7663
492,5.30E-01,3.06E-02,5.7692
493,5.35E-01,3.09E-02,5.7749
494,5.41E-01,3.13E-02,5.7843
495,5.46E-01,3.16E-02,5.7977
496,5.45E-01,3.17E-02,5.813
497,5.42E-01,3.16E-02,5.8298
498,5.37E-01,3.15E-02,5.8482
499,5.31E-01,3.12E-02,5.8689
500,5.24E-01,3.09E-02,5.8924
501,5.20E-01,3.08E-02,5.9189
502,5.19E-01,3.09E-02,5.9491
503,5.22E-01,3.12E-02,5.9826
504,5.27E-01,3.17E-02,6.0194
505,5.34E-01,3.23E-02,6.0588
506,5.36E-01,3.27E-02,6.1015
507,5.35E-01,3.28E-02,6.1488
508,5.33E-01,3.30E-02,6.2004
509,5.35E-01,3.34E-02,6.2569
510,5.38E-01,3.39E-02,6.3187
511,5.38E-01,3.42E-02,6.3854
512,5.34E-01,3.43E-02,6.4566
513,5.27E-01,3.43E-02,6.5322
514,5.22E-01,3.44E-02,6.6126
515,5.11E-01,3.41E-02,6.6979
516,4.95E-01,3.35E-02,6.7881
517,4.84E-01,3.32E-02,6.8825
518,4.87E-01,3.39E-02,6.9802
519,5.01E-01,3.53E-02,7.0808
520,5.15E-01,3.68E-02,7.183
521,5.22E-01,3.79E-02,7.2863
522,5.25E-01,3.87E-02,7.3892
523,5.30E-01,3.97E-02,7.4913
524,5.31E-01,4.04E-02,7.5923
525,5.27E-01,4.07E-02,7.6969
526,5.17E-01,4.05E-02,7.8004
527,5.18E-01,4.10E-02,7.9021
528,5.27E-01,4.23E-02,8.001
529,5.43E-01,4.40E-02,8.0909
530,5.48E-01,4.49E-02,8.1775
531,5.44E-01,4.52E-02,8.2605
532,5.38E-01,4.50E-02,8.3387
533,5.36E-01,4.52E-02,8.4092
534,5.38E-01,4.57E-02,8.477
535,5.43E-01,4.64E-02,8.5398
536,5.43E-01,4.66E-02,8.6003
537,5.40E-01,4.66E-02,8.6585
538,5.36E-01,4.65E-02,8.7131
539,5.30E-01,4.63E-02,8.7641
540,5.25E-01,4.62E-02,8.8117
541,5.24E-01,4.64E-02,8.8565
542,5.28E-01,4.71E-02,8.8989
543,5.33E-01,4.76E-02,8.9387
544,5.36E-01,4.80E-02,8.9757
545,5.37E-01,4.83E-02,9.0096
546,5.36E-01,4.83E-02,9.0402
547,5.34E-01,4.83E-02,9.0677
548,5.34E-01,4.85E-02,9.0924
549,5.36E-01,4.88E-02,9.1142
550,5.37E-01,4.90E-02,9.1325
551,5.36E-01,4.90E-02,9.1474
552,5.36E-01,4.91E-02,9.1576
553,5.37E-01,4.93E-02,9.1607
554,5.38E-01,4.94E-02,9.1599
555,5.37E-01,4.92E-02,9.1544
556,5.32E-01,4.88E-02,9.1435
557,5.25E-01,4.81E-02,9.1269
558,5.20E-01,4.74E-02,9.1038
559,5.19E-01,4.71E-02,9.074
560,5.21E-01,4.71E-02,9.0329
561,5.25E-01,4.72E-02,8.9859
562,5.27E-01,4.72E-02,8.9375
563,5.27E-01,4.69E-02,8.8836
564,5.25E-01,4.64E-02,8.8215
565,5.23E-01,4.59E-02,8.7566
