Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.21E-01,6.15E-03,5.0541
351,1.25E-01,6.33E-03,5.0575
352,1.30E-01,6.55E-03,5.0624
353,1.33E-01,6.70E-03,5.0685
354,1.34E-01,6.79E-03,5.0758
355,1.35E-01,6.86E-03,5.0841
356,1.36E-01,6.91E-03,5.093
357,1.37E-01,6.98E-03,5.1034
358,1.38E-01,7.08E-03,5.1155
359,1.40E-01,7.25E-03,5.1297
360,1.46E-01,7.54E-03,5.1459
361,1.53E-01,7.96E-03,5.1642
362,1.63E-01,8.45E-03,5.1843
363,1.71E-01,8.93E-03,5.2061
364,1.80E-01,9.40E-03,5.2295
365,1.88E-01,9.87E-03,5.2545
366,1.97E-01,1.03E-02,5.2814
367,2.04E-01,1.08E-02,5.3104
368,2.08E-01,1.10E-02,5.3414
369,2.08E-01,1.11E-02,5.3744
370,2.04E-01,1.10E-02,5.4096
371,1.98E-01,1.08E-02,5.4469
372,1.94E-01,1.06E-02,5.4862
373,1.92E-01,1.06E-02,5.5274
374,1.94E-01,1.08E-02,5.5706
375,2.01E-01,1.13E-02,5.6158
376,2.10E-01,1.19E-02,5.6631
377,2.22E-01,1.27E-02,5.7121
378,2.29E-01,1.32E-02,5.7626
379,2.27E-01,1.31E-02,5.8144
380,2.16E-01,1.26E-02,5.8675
381,2.01E-01,1.19E-02,5.9216
382,1.90E-01,1.13E-02,5.9765
383,1.85E-01,1.12E-02,6.0322
384,1.85E-01,1.13E-02,6.0884
385,1.92E-01,1.18E-02,6.1449
386,2.02E-01,1.25E-02,6.201
387,2.14E-01,1.34E-02,6.2564
388,2.27E-01,1.43E-02,6.3107
389,2.35E-01,1.50E-02,6.3638
390,2.38E-01,1.52E-02,6.4158
391,2.34E-01,1.51E-02,6.4669
392,2.27E-01,1.48E-02,6.5169
393,2.19E-01,1.43E-02,6.5657
394,2.13E-01,1.41E-02,6.613
395,2.16E-01,1.44E-02,6.6585
396,2.30E-01,1.55E-02,6.7021
397,2.52E-01,1.71E-02,6.7442
398,2.76E-01,1.88E-02,6.785
399,3.01E-01,2.07E-02,6.8251
400,3.27E-01,2.25E-02,6.8647
401,3.48E-01,2.40E-02,6.904
402,3.59E-01,2.49E-02,6.9429
403,3.66E-01,2.54E-02,6.9814
404,3.69E-01,2.58E-02,7.0195
405,3.70E-01,2.60E-02,7.057
406,3.71E-01,2.62E-02,7.0942
407,3.74E-01,2.66E-02,7.1311
408,3.77E-01,2.70E-02,7.1676
409,3.82E-01,2.75E-02,7.2043
410,3.88E-01,2.81E-02,7.2419
411,3.94E-01,2.87E-02,7.2807
412,4.01E-01,2.94E-02,7.3208
413,4.07E-01,3.00E-02,7.3621
414,4.11E-01,3.04E-02,7.4048
415,4.12E-01,3.07E-02,7.4495
416,4.11E-01,3.08E-02,7.4961
417,4.09E-01,3.09E-02,7.5446
418,4.09E-01,3.10E-02,7.5944
419,4.10E-01,3.14E-02,7.6449
420,4.13E-01,3.18E-02,7.696
421,4.14E-01,3.21E-02,7.7477
422,4.14E-01,3.23E-02,7.7999
423,4.12E-01,3.24E-02,7.853
424,4.11E-01,3.25E-02,7.9071
425,4.11E-01,3.27E-02,7.9624
426,4.09E-01,3.28E-02,8.0186
427,4.02E-01,3.24E-02,8.076
428,3.88E-01,3.15E-02,8.134
429,3.70E-01,3.03E-02,8.1927
430,3.65E-01,3.01E-02,8.2518
431,3.79E-01,3.15E-02,8.3113
432,4.03E-01,3.38E-02,8.3711
433,4.22E-01,3.56E-02,8.4309
434,4.34E-01,3.69E-02,8.4906
435,4.46E-01,3.81E-02,8.5501
436,4.53E-01,3.90E-02,8.6089
437,4.52E-01,3.91E-02,8.6667
438,4.46E-01,3.89E-02,8.7235
439,4.48E-01,3.93E-02,8.7789
440,4.59E-01,4.06E-02,8.8328
441,4.75E-01,4.23E-02,8.885
442,4.89E-01,4.37E-02,8.9353
443,4.96E-01,4.46E-02,8.9835
444,4.97E-01,4.49E-02,9.0294
445,4.97E-01,4.51E-02,9.0728
446,5.01E-01,4.57E-02,9.1135
447,5.11E-01,4.68E-02,9.1518
448,5.23E-01,4.82E-02,9.1878
449,5.35E-01,4.94E-02,9.2217
450,5.41E-01,5.01E-02,9.2532
451,5.39E-01,5.01E-02,9.282
452,5.31E-01,4.95E-02,9.3083
453,5.24E-01,4.89E-02,9.3324
454,5.28E-01,4.94E-02,9.3543
455,5.35E-01,5.02E-02,9.3741
456,5.43E-01,5.10E-02,9.3921
457,5.45E-01,5.13E-02,9.4087
458,5.44E-01,5.13E-02,9.4244
459,5.43E-01,5.13E-02,9.4398
460,5.48E-01,5.18E-02,9.4551
461,5.55E-01,5.25E-02,9.4697
462,5.59E-01,5.30E-02,9.4837
463,5.56E-01,5.28E-02,9.4973
464,5.51E-01,5.23E-02,9.5109
465,5.45E-01,5.19E-02,9.5247
466,5.43E-01,5.18E-02,9.5392
467,5.43E-01,5.18E-02,9.5544
468,5.44E-01,5.21E-02,9.5703
469,5.44E-01,5.21E-02,9.5869
470,5.44E-01,5.23E-02,9.6043
471,5.48E-01,5.28E-02,9.623
472,5.55E-01,5.36E-02,9.6434
473,5.60E-01,5.42E-02,9.6652
474,5.60E-01,5.44E-02,9.6886
475,5.59E-01,5.43E-02,9.7136
476,5.58E-01,5.44E-02,9.7403
477,5.61E-01,5.47E-02,9.7686
478,5.66E-01,5.54E-02,9.7985
479,5.72E-01,5.61E-02,9.8304
480,5.76E-01,5.67E-02,9.8641
481,5.77E-01,5.71E-02,9.8994
482,5.76E-01,5.71E-02,9.9366
483,5.69E-01,5.67E-02,9.9755
484,5.49E-01,5.49E-02,10.0162
485,5.27E-01,5.30E-02,10.0584
486,5.12E-01,5.17E-02,10.1021
487,5.19E-01,5.27E-02,10.1474
488,5.34E-01,5.45E-02,10.1944
489,5.51E-01,5.64E-02,10.2433
490,5.55E-01,5.72E-02,10.2938
491,5.54E-01,5.73E-02,10.346
492,5.50E-01,5.72E-02,10.3999
493,5.56E-01,5.81E-02,10.455
494,5.62E-01,5.91E-02,10.5106
495,5.67E-01,5.99E-02,10.5664
496,5.66E-01,6.01E-02,10.6228
497,5.63E-01,6.01E-02,10.6796
498,5.58E-01,5.99E-02,10.737
499,5.52E-01,5.95E-02,10.7946
500,5.45E-01,5.92E-02,10.8524
501,5.41E-01,5.90E-02,10.9103
502,5.40E-01,5.92E-02,10.9681
503,5.43E-01,5.99E-02,11.0261
504,5.49E-01,6.09E-02,11.0841
505,5.55E-01,6.19E-02,11.1424
506,5.58E-01,6.25E-02,11.2009
507,5.56E-01,6.27E-02,11.2593
508,5.55E-01,6.29E-02,11.3177
509,5.57E-01,6.33E-02,11.3761
510,5.60E-01,6.41E-02,11.4343
511,5.60E-01,6.43E-02,11.4925
512,5.56E-01,6.42E-02,11.5509
513,5.49E-01,6.37E-02,11.6094
514,5.43E-01,6.34E-02,11.6679
515,5.32E-01,6.23E-02,11.7265
516,5.16E-01,6.07E-02,11.7853
517,5.03E-01,5.96E-02,11.8443
518,5.07E-01,6.03E-02,11.9034
519,5.22E-01,6.25E-02,11.9628
520,5.36E-01,6.45E-02,12.0227
521,5.44E-01,6.57E-02,12.0835
522,5.47E-01,6.64E-02,12.1453
523,5.52E-01,6.74E-02,12.2077
524,5.53E-01,6.79E-02,12.2705
525,5.49E-01,6.77E-02,12.3334
