Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.21E-01,3.77E-03,3.0944
351,1.25E-01,3.88E-03,3.0954
352,1.30E-01,4.00E-03,3.0966
353,1.33E-01,4.10E-03,3.0979
354,1.34E-01,4.16E-03,3.0994
355,1.35E-01,4.20E-03,3.1013
356,1.36E-01,4.23E-03,3.1039
357,1.37E-01,4.27E-03,3.1076
358,1.38E-01,4.32E-03,3.1125
359,1.40E-01,4.42E-03,3.119
360,1.46E-01,4.59E-03,3.1268
361,1.53E-01,4.82E-03,3.1355
362,1.63E-01,5.10E-03,3.1446
363,1.71E-01,5.39E-03,3.1543
364,1.80E-01,5.67E-03,3.165
365,1.88E-01,5.95E-03,3.1774
366,1.97E-01,6.24E-03,3.1919
367,2.04E-01,6.48E-03,3.2087
368,2.08E-01,6.65E-03,3.2281
369,2.08E-01,6.71E-03,3.2503
370,2.04E-01,6.66E-03,3.2752
371,1.98E-01,6.55E-03,3.3021
372,1.94E-01,6.46E-03,3.3306
373,1.92E-01,6.47E-03,3.3609
374,1.94E-01,6.61E-03,3.3932
375,2.01E-01,6.89E-03,3.4276
376,2.10E-01,7.26E-03,3.464
377,2.22E-01,7.74E-03,3.5029
378,2.29E-01,8.07E-03,3.5449
379,2.27E-01,8.10E-03,3.5903
380,2.16E-01,7.84E-03,3.6383
381,2.01E-01,7.45E-03,3.6875
382,1.90E-01,7.15E-03,3.7369
383,1.85E-01,7.07E-03,3.7867
384,1.85E-01,7.20E-03,3.8377
385,1.92E-01,7.51E-03,3.8901
386,2.02E-01,7.96E-03,3.9447
387,2.14E-01,8.54E-03,4.0032
388,2.27E-01,9.14E-03,4.0654
389,2.35E-01,9.63E-03,4.1304
390,2.38E-01,9.88E-03,4.1981
391,2.34E-01,9.92E-03,4.2678
392,2.27E-01,9.82E-03,4.3395
393,2.19E-01,9.66E-03,4.4116
394,2.13E-01,9.59E-03,4.4835
395,2.16E-01,9.85E-03,4.5557
396,2.30E-01,1.06E-02,4.6282
397,2.52E-01,1.17E-02,4.7017
398,2.76E-01,1.31E-02,4.7769
399,3.01E-01,1.46E-02,4.854
400,3.27E-01,1.62E-02,4.9329
401,3.48E-01,1.77E-02,5.0127
402,3.59E-01,1.86E-02,5.0929
403,3.66E-01,1.91E-02,5.1721
404,3.69E-01,1.94E-02,5.2498
405,3.70E-01,1.96E-02,5.3256
406,3.71E-01,1.99E-02,5.3983
407,3.74E-01,2.04E-02,5.4679
408,3.77E-01,2.09E-02,5.5354
409,3.82E-01,2.14E-02,5.6021
410,3.88E-01,2.20E-02,5.6681
411,3.94E-01,2.26E-02,5.7327
412,4.01E-01,2.33E-02,5.796
413,4.07E-01,2.39E-02,5.8585
414,4.11E-01,2.44E-02,5.9199
415,4.12E-01,2.47E-02,5.9789
416,4.11E-01,2.49E-02,6.0347
417,4.09E-01,2.50E-02,6.0879
418,4.09E-01,2.51E-02,6.1409
419,4.10E-01,2.54E-02,6.1949
420,4.13E-01,2.57E-02,6.2486
421,4.14E-01,2.60E-02,6.3008
422,4.14E-01,2.62E-02,6.3507
423,4.12E-01,2.63E-02,6.3992
424,4.11E-01,2.65E-02,6.4465
425,4.11E-01,2.67E-02,6.4929
426,4.09E-01,2.68E-02,6.5384
427,4.02E-01,2.65E-02,6.5838
428,3.88E-01,2.59E-02,6.6293
429,3.70E-01,2.49E-02,6.6751
430,3.65E-01,2.47E-02,6.7217
431,3.79E-01,2.55E-02,6.7688
432,4.03E-01,2.73E-02,6.8151
