Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.06E-01,3.67E-03,3.4464
351,1.10E-01,3.79E-03,3.4497
352,1.14E-01,3.92E-03,3.4542
353,1.16E-01,4.01E-03,3.4599
354,1.18E-01,4.07E-03,3.4665
355,1.18E-01,4.10E-03,3.474
356,1.19E-01,4.13E-03,3.4819
357,1.19E-01,4.16E-03,3.4908
358,1.20E-01,4.21E-03,3.5009
359,1.22E-01,4.31E-03,3.5125
360,1.26E-01,4.48E-03,3.5254
361,1.33E-01,4.73E-03,3.5398
362,1.41E-01,5.02E-03,3.5552
363,1.48E-01,5.30E-03,3.5716
364,1.56E-01,5.58E-03,3.5889
365,1.63E-01,5.85E-03,3.607
366,1.70E-01,6.13E-03,3.6262
367,1.75E-01,6.37E-03,3.6466
368,1.79E-01,6.52E-03,3.6683
369,1.79E-01,6.56E-03,3.6912
370,1.75E-01,6.49E-03,3.7156
371,1.70E-01,6.36E-03,3.7415
372,1.66E-01,6.26E-03,3.7687
373,1.64E-01,6.25E-03,3.7973
374,1.66E-01,6.37E-03,3.827
375,1.71E-01,6.63E-03,3.8579
376,1.79E-01,6.98E-03,3.89
377,1.89E-01,7.43E-03,3.923
378,1.95E-01,7.71E-03,3.9567
379,1.93E-01,7.68E-03,3.9913
380,1.84E-01,7.37E-03,4.0267
381,1.71E-01,6.94E-03,4.0629
382,1.61E-01,6.61E-03,4.0994
383,1.56E-01,6.49E-03,4.1363
384,1.57E-01,6.57E-03,4.1735
385,1.62E-01,6.84E-03,4.2108
386,1.70E-01,7.23E-03,4.248
387,1.80E-01,7.74E-03,4.285
388,1.91E-01,8.24E-03,4.3215
389,1.98E-01,8.61E-03,4.3573
390,2.00E-01,8.74E-03,4.3925
391,1.97E-01,8.67E-03,4.4271
392,1.91E-01,8.49E-03,4.461
393,1.84E-01,8.24E-03,4.4941
394,1.79E-01,8.09E-03,4.5261
395,1.81E-01,8.27E-03,4.5569
396,1.92E-01,8.86E-03,4.5865
397,2.11E-01,9.77E-03,4.6151
398,2.30E-01,1.08E-02,4.643
399,2.51E-01,1.18E-02,4.6706
400,2.71E-01,1.28E-02,4.6982
401,2.88E-01,1.37E-02,4.7257
402,2.96E-01,1.41E-02,4.7532
403,3.02E-01,1.44E-02,4.7804
404,3.05E-01,1.46E-02,4.8072
405,3.06E-01,1.47E-02,4.8338
406,3.07E-01,1.49E-02,4.8602
407,3.09E-01,1.51E-02,4.8863
408,3.12E-01,1.53E-02,4.9121
409,3.15E-01,1.56E-02,4.938
410,3.20E-01,1.59E-02,4.9645
411,3.25E-01,1.62E-02,4.9919
412,3.31E-01,1.66E-02,5.0203
413,3.36E-01,1.70E-02,5.0495
414,3.38E-01,1.72E-02,5.0797
415,3.39E-01,1.73E-02,5.1111
416,3.38E-01,1.74E-02,5.1438
417,3.36E-01,1.74E-02,5.1779
418,3.36E-01,1.75E-02,5.2128
419,3.37E-01,1.77E-02,5.2484
420,3.39E-01,1.79E-02,5.2846
421,3.40E-01,1.81E-02,5.321
422,3.39E-01,1.82E-02,5.3577
423,3.38E-01,1.82E-02,5.3948
424,3.36E-01,1.83E-02,5.4325
425,3.36E-01,1.84E-02,5.4709
426,3.34E-01,1.84E-02,5.5099
427,3.28E-01,1.82E-02,5.5495
428,3.16E-01,1.77E-02,5.5896
429,3.02E-01,1.70E-02,5.6301
430,2.97E-01,1.68E-02,5.6711
431,3.07E-01,1.76E-02,5.7123
432,3.27E-01,1.88E-02,5.7534
433,3.42E-01,1.98E-02,5.7946
434,3.52E-01,2.05E-02,5.8357
435,3.62E-01,2.12E-02,5.8764
436,3.67E-01,2.17E-02,5.9166
437,3.66E-01,2.18E-02,5.9562
438,3.61E-01,2.17E-02,5.995
439,3.62E-01,2.19E-02,6.0331
440,3.71E-01,2.25E-02,6.0702
441,3.84E-01,2.35E-02,6.1062
442,3.95E-01,2.43E-02,6.1409
443,4.01E-01,2.48E-02,6.1743
444,4.01E-01,2.49E-02,6.2062
445,4.01E-01,2.50E-02,6.2368
446,4.04E-01,2.53E-02,6.2659
447,4.12E-01,2.59E-02,6.2935
448,4.22E-01,2.67E-02,6.32
449,4.32E-01,2.74E-02,6.3454
450,4.36E-01,2.78E-02,6.3694
451,4.34E-01,2.77E-02,6.3918
452,4.27E-01,2.74E-02,6.4129
453,4.20E-01,2.70E-02,6.433
454,4.23E-01,2.73E-02,6.4519
455,4.29E-01,2.77E-02,6.4699
456,4.35E-01,2.82E-02,6.487
457,4.37E-01,2.84E-02,6.5034
458,4.36E-01,2.84E-02,6.5195
459,4.35E-01,2.84E-02,6.5356
460,4.39E-01,2.87E-02,6.5518
461,4.43E-01,2.91E-02,6.5683
462,4.47E-01,2.94E-02,6.5852
463,4.44E-01,2.93E-02,6.6024
464,4.40E-01,2.91E-02,6.6198
465,4.35E-01,2.89E-02,6.6375
466,4.33E-01,2.88E-02,6.6556
467,4.33E-01,2.89E-02,6.6742
468,4.34E-01,2.90E-02,6.6934
469,4.33E-01,2.90E-02,6.7131
470,4.33E-01,2.92E-02,6.7331
471,4.37E-01,2.95E-02,6.7539
472,4.43E-01,3.00E-02,6.7757
473,4.47E-01,3.04E-02,6.7985
474,4.48E-01,3.06E-02,6.822
475,4.46E-01,3.06E-02,6.8466
476,4.43E-01,3.05E-02,6.8722
477,4.42E-01,3.05E-02,6.8989
478,4.46E-01,3.09E-02,6.9269
479,4.51E-01,3.13E-02,6.9562
480,4.55E-01,3.17E-02,6.9866
481,4.57E-01,3.20E-02,7.0181
482,4.55E-01,3.21E-02,7.0505
483,4.50E-01,3.18E-02,7.0839
484,4.34E-01,3.09E-02,7.1184
485,4.17E-01,2.98E-02,7.1538
486,4.05E-01,2.91E-02,7.1901
487,4.09E-01,2.96E-02,7.2271
488,4.21E-01,3.06E-02,7.2654
489,4.34E-01,3.17E-02,7.3049
490,4.38E-01,3.22E-02,7.3456
491,4.36E-01,3.23E-02,7.3875
492,4.34E-01,3.22E-02,7.4306
493,4.37E-01,3.27E-02,7.4748
494,4.42E-01,3.33E-02,7.5199
495,4.46E-01,3.37E-02,7.5655
496,4.45E-01,3.39E-02,7.6115
497,4.43E-01,3.39E-02,7.6576
498,4.39E-01,3.38E-02,7.7037
499,4.33E-01,3.36E-02,7.7497
500,4.28E-01,3.34E-02,7.7957
501,4.24E-01,3.33E-02,7.8417
502,4.23E-01,3.34E-02,7.8875
503,4.25E-01,3.38E-02,7.9334
504,4.30E-01,3.44E-02,7.9796
505,4.35E-01,3.50E-02,8.0262
506,4.37E-01,3.53E-02,8.073
507,4.36E-01,3.54E-02,8.1197
508,4.35E-01,3.55E-02,8.1665
509,4.36E-01,3.58E-02,8.2134
510,4.38E-01,3.62E-02,8.2601
511,4.38E-01,3.63E-02,8.3069
512,4.34E-01,3.63E-02,8.354
513,4.29E-01,3.60E-02,8.4012
514,4.24E-01,3.58E-02,8.4483
515,4.15E-01,3.52E-02,8.4952
516,4.02E-01,3.43E-02,8.542
517,3.92E-01,3.37E-02,8.5888
518,3.95E-01,3.41E-02,8.6357
519,4.06E-01,3.53E-02,8.6825
